SearchZ:
ZPos,Cen,UL,UR,BL,BR
71719,50.4587,53.1429,55.5556,55.1282,64.0449,
71754,55.1402,54.9133,59.116,57.9618,66.4804,
71789,60.1896,58.6592,59.5506,60.2649,67.2316,
71824,63.4615,56.4706,56.3218,61.2903,66.1017,
71859,63.285,55.814,52.0468,58.1081,61.7978,
71894,59.0476,51.5152,47.929,54.3624,57.6087,
71929,53.4884,50.5747,43.3735,49.3333,49.1124,
71964,49.0741,45.1429,40,43.4483,40.6452,
71999,42.723,38.1818,32.8671,36.9863,40.2597,
72034,40.9524,35.9551,36.3636,36.9231,42.0561,
72069,41.6667,34.9398,29.7297,32.3529,34.7826,
72104,38.4615,35.443,32.2034,33.758,38.75,
72139,36.9458,36.5854,39.2857,34.2105,36.7089,
72174,36.3184,29.5597,28.9855,31.9444,33.3333,
72209,34.715,39.3939,37.8641,32.4503,36.8421,
