SearchZ:
ZPos,Cen,UL,UR,BL,BR
71719,50.6849,51.7647,57.7778,56.5217,63.3333,
71754,54.6296,54.6512,59.5628,58.9744,66.4804,
71789,60.3774,57.7143,59.3407,62.0253,67.5978,
71824,63.6364,58.1921,57.0621,61.2903,65.3631,
71859,62.6794,57.7778,53.1429,59.2105,62.4309,
71894,58.2938,50,48.5714,52.381,57.6087,
71929,53.7037,49.7076,41.1043,50.6493,48.8372,
71964,48.1818,43.5294,39.5062,43.2432,41.9753,
71999,41.5094,40.2439,35.4839,36.1702,37.6623,
72034,35.6784,33.7349,34.3511,33.7931,36.5079,
72069,37.8641,32.1839,47.8261,32.5,54.4554,
72104,40.9091,34.5912,32.4841,31.2977,35.1724,
72139,34.9754,32.5153,32.8467,32.8767,41.6149,
72174,34.6535,30.4878,28.0702,32.4675,36.2963,
72209,37.8641,32.4841,30.3571,32.9114,36.5517,
