SearchZ:
ZPos,Cen,UL,UR,BL,BR
71719,50,50.8982,55.9322,57.3171,63.1285,
71754,54.1284,54.1176,59.5628,59.4937,66.1017,
71789,60.5634,55.9524,56.9767,63.1902,67.4157,
71824,63.8095,56.7251,58.2418,62.963,65.5556,
71859,62.8571,53.2934,53.6723,60.4938,60.452,
71894,58.6854,51.1905,48.8372,55.9748,54.9133,
71929,50,45.9184,42.4242,48.3517,46.7337,
71964,48.1818,42.6829,37.5796,42.6573,40.2597,
71999,43.6364,37.5,34.6667,38.255,36.9128,
72034,40.7407,33.3333,36.7089,34.7222,38.3648,
72069,36.8421,34.2466,33.7748,32.8571,35,
72104,39.2523,32.4503,32.0261,34.2857,36.3057,
72139,35.3535,29.9363,31.9149,31.9149,34.3066,
72174,34.3434,29.9363,31.4286,30.4965,33.3333,
72209,35.6784,30.9091,36.8421,31.9728,42.6087,
