SearchZ:
ZPos,Cen,UL,UR,BL,BR
71615,35.814,39.3258,36.7816,47.0199,50.838,
71655,40.1786,41.0405,42.2222,51.9481,56.6667,
71695,44.9782,48.0663,48.6911,55.8442,62.8415,
71735,50.4348,50.2825,52.1277,60.241,65.2174,
71775,56.9507,56.383,57.8947,58.5366,65.7459,
71815,61.8182,57.1429,61.0526,54.6012,61.7486,
71855,61.8182,56.044,60,48.75,57.377,
71895,57.4661,53.0726,57.4468,45.679,48.8372,
71935,51.1111,50.2762,53.2609,38.8535,40.2439,
71975,45.614,43.0233,48.3517,35.0993,38.0952,
72015,39.9103,41.3174,41.5584,32,35.7143,
72055,36.6972,31.3609,34.6154,32,37.2549,
72095,33.9623,45.4545,43.8596,38.1818,36.3636,
