SearchZ:
ZPos,Cen,UL,UR,BL,BR
71615,40,37.5,38.0117,47.4359,54.023,
71655,41.3793,42.3913,42.3729,51.8987,59.7765,
71695,46.5517,47.5936,50,56.7901,64.1304,
71735,52.6316,50.5494,55.3191,57.5,65.2174,
71775,58.7444,56.8421,59.1623,57.1429,63.0435,
71815,62.7273,58.9474,59.7884,53.3742,57.8378,
71855,60.181,56.5217,58.3333,48.1013,54.1667,
71895,55.5556,54.3478,56.25,42.3077,46.0674,
71935,49.1228,48.0226,49.4624,36.9128,36.646,
71975,44.3478,43.6782,42.8571,32.8859,35.0318,
72015,40.2597,36.8421,38.8235,32.4324,34.5912,
72055,38.8646,32.5444,34.5679,34.6405,38.6503,
72095,37.7778,30.2326,32.8947,32.9193,31.9149,
