SearchZ:
ZPos,Cen,UL,UR,BL,BR
71719,50,50.8982,57.8378,56.4103,63.1285,
71754,54.1284,55.4286,59.7826,59.4937,66.4804,
71789,60,56.7251,60.8696,61.2903,67.4157,
71824,63.8095,55.6886,59.1398,60.5263,66.2921,
71859,63.0332,55.9322,54.9451,56.8627,63.0435,
71894,58.8785,51.4793,50.838,51.6779,56.3218,
71929,53.7037,45.3416,43.5583,46.9388,49.7006,
71964,47.5113,40.3727,40.6061,41.8919,44.9102,
71999,43.1193,37.1069,35.8974,38.7755,39.6226,
72034,37.7551,33.3333,57.7778,32.8947,59.5238,
72069,36.5385,32.5153,30.9353,34.2282,34.3066,
72104,38.9671,32.0988,30.303,31.5068,34.8148,
72139,36.6337,32.5301,40.1709,31.4685,44.8276,
72174,35.0254,41.6058,38.4615,35.8025,35.5263,
72209,35.1563,28.7958,28.1768,30.2326,36.5079,
