SearchZ:
ZPos,Cen,UL,UR,BL,BR
71719,50.9259,54.4444,58.4699,55.414,62.2857,
71754,55.3488,57.0621,60.221,58.7097,65.1163,
71789,60,59.7765,58.3815,62.7329,68.1818,
71824,63.4615,58.8571,55.814,63.0573,66.2921,
71859,63.285,55.0296,51.1905,61.2903,62.0112,
71894,59.2417,51.8072,47.3054,54.3624,57.5419,
71929,54.4186,47.1698,40.8805,49.3151,49.3976,
71964,48.6239,42.6829,38.0645,43.0556,41.5584,
71999,45.2055,37.2549,35.0993,38.4615,39.4737,
72034,37.561,33.7423,36.4865,32.8671,33.8346,
72069,37.5,33.75,31.7829,33.3333,37.8378,
72104,36.6834,33.8028,35.7143,32.2581,36.7742,
72139,38.4615,33.3333,32.0261,32.3077,38.8535,
72174,36.5854,33.3333,33.3333,33.8028,38.9222,
72209,36.9458,30.3226,32.1739,32.4675,36.1702,
