SearchZ:
ZPos,Cen,UL,UR,BL,BR
71719,50,54.1899,57.5419,54.8387,61.1765,
71754,54.8387,56.4246,59.5628,58.9744,66.1017,
71789,60.1896,56.3636,60.221,61.7834,68,
71824,63.6364,56.213,55.5556,61.5385,66.1017,
71859,63.4615,54.9133,52.6627,61.7284,62.2222,
71894,59.2417,53.6723,50.289,55.9748,55.5556,
71929,54.2056,46.25,43.7126,51.2821,48.1481,
71964,48.1818,45.3488,39.5062,45.2055,40.6452,
71999,42.5837,34.5912,34.2657,35.7143,37.5,
72034,36.5854,36.25,33.3333,32.8671,38.1579,
72069,39.1304,32.0513,30.9353,30.9859,34.3066,
72104,37.561,31.0345,34.1615,33.3333,36.3636,
72139,36.5079,33.3333,56.962,34.6154,61.039,
72174,37.1981,32.5301,29.0323,31.5436,33.8028,
72209,37.3737,41.6667,37.0787,34.5679,38.3459,
