SearchZ:
ZPos,Cen,UL,UR,BL,BR
71719,50.9091,53.5912,57.5419,57.8313,63.6364,
71754,54.8387,54.1176,58.8889,62.5731,66.4804,
71789,60.3774,56.213,57.7143,64.2857,67.4157,
71824,63.6364,56.7251,56.1798,64.7059,63.8418,
71859,62.6794,53.8462,53.1429,59.4937,61.326,
71894,58.1395,50.8982,47.3684,58.0838,52.9412,
71929,52.9954,45.3416,41.4634,53.6585,46.3415,
71964,47.5113,40.5063,35.8974,44.8718,38.5621,
71999,40.6699,37.5,35.4037,36.7647,36.8421,
72034,38.0952,34.1615,36.0544,34.2657,36.2319,
72069,36.8421,31.8182,34.0314,32.0755,36.8421,
72104,39.2523,29.4872,34.2105,32.8767,32.8358,
72139,36.2319,29.4118,31.0345,30.4348,38.1579,
72174,37.1981,36.9697,33.3333,35.8491,37.5796,
72209,38.6792,28.2051,29.1667,31.3869,35.2113,
