SearchZ:
ZPos,Cen,UL,UR,BL,BR
71615,39.4737,35.7143,37.2781,46.25,48.0226,
71655,41.1255,42.2222,43.0168,52.0958,56.383,
71695,45.4545,48.9362,50,58.3815,61.326,
71735,50.4348,53.4392,55.5556,60.4651,64.5161,
71775,57.1429,56.6138,58.7302,61.3636,65.4054,
71815,61.8182,56.7568,60.8466,59.5506,62.5668,
71855,61.8182,56.9892,58.9474,56.6667,57.8378,
71895,56.7568,51.4124,54.5946,50.2825,52.8796,
71935,50.6608,47.4286,48.5714,42.6829,43.3526,
71975,45.8515,42.5287,42.1687,35.0649,39.8773,
72015,40.9692,36.9048,38.4615,35.8491,37.4233,
72055,38.7931,32.5153,31.7073,32.4138,38.0117,
72095,39.4737,31.677,34.1317,34.1936,37.3494,
