SearchZ:
ZPos,Cen,UL,UR,BL,BR
71615,38.0753,36.3129,37.931,46.8927,51.7949,
71655,41.1255,44.6809,45.1429,48.7805,56.9892,
71695,46.4912,51.7949,52.1277,52.8662,62.3656,
71735,51.3274,53.2609,54.9451,59.7633,65.0273,
71775,57.6577,57.8947,58.5106,60.241,65.5914,
71815,58.871,55.5556,56.3981,57.6355,59.0476,
71855,61.8182,57.672,56.7568,54.9133,57.672,
71895,56.0538,51.6854,52.4324,47.561,52.0833,
71935,50,46.3687,48.3517,40.2597,45.6522,
71975,44.9782,43.0233,41.3793,37.6623,38.7283,
72015,38.7387,37.5723,35,32.8947,37.4233,
72055,39.6552,36.0947,34.6939,33.3333,35.7576,
72095,38.5281,31.3609,35.1724,32.0755,36.1963,
