SearchZ:
ZPos,Cen,UL,UR,BL,BR
71615,38.7387,36.0947,38.7283,44.1558,50,
71655,42.3581,41.7143,45.9459,48.0519,55.6818,
71695,46.7249,49.1892,52.381,55.2795,62.8415,
71735,51.7544,51.9126,57.0681,58.5366,66.1202,
71775,57.8475,56.383,59.7884,59.0361,64.6409,
71815,62.212,57.377,60,58.3333,61.7486,
71855,61.4679,57.4468,57.8947,53.012,52.8736,
71895,56.0538,54.2553,53.8462,49.3976,44.2424,
71935,49.5575,46.8208,50,43.2099,39.3939,
71975,44.7368,44.3182,44.1341,39.8773,34.5679,
72015,41.2281,43.0168,42.8571,32.0513,38.4615,
72055,37.037,37.8947,35.7664,33.7349,35.7143,
72095,37.5566,31.7365,33.75,35.8491,37.8049,
