SearchZ:
ZPos,Cen,UL,UR,BL,BR
71615,40.3509,36.8421,39.2857,42.4837,53.0055,
71655,41.4847,41.0405,46.5241,49.6855,55.8011,
71695,46.3203,47.8261,51.6129,55.8282,63.0435,
71735,51.3043,53.1915,57.2917,57.764,65.2174,
71775,58.0357,56.383,59.7884,59.7561,65.4054,
71815,62.5571,57.672,60,56.6265,60.6557,
71855,61.6438,56.9892,58.1152,55.6818,54.4444,
71895,55.8559,53.8462,55.2083,49.7076,47.4286,
71935,49.7797,47.486,47.191,43.5583,36.25,
71975,44.7368,45.2514,40.6977,42.0118,34.5455,
72015,37.8995,34.104,35.7143,36.1446,35.1724,
72055,37.6147,30.6358,35.5705,35.4037,34.3066,
72095,36.3636,30.9942,31.5436,31.6129,36,
