SearchZ:
ZPos,Cen,UL,UR,BL,BR
71719,50.2262,54.2857,55.5556,58.8235,56.6667,
71754,54.3379,57.5419,57.7778,61.9048,61.7486,
71789,60,57.7143,59.7826,64.0719,65.7459,
71824,63.2075,56.8182,58.4699,64.2857,67.7778,
71859,63.981,54.5455,55.8011,60.7362,67.7778,
71894,59.8131,50.289,48.1928,58.8235,63.5359,
71929,54.8387,41.1765,44.5783,53.9394,57.8947,
71964,49.3213,38.6503,37.6623,46.8354,50.8982,
71999,44.7964,37.8049,35.0649,40.5405,43.5583,
72034,42.1801,31.5436,33.3333,34.8485,39.0728,
72069,39.1304,33.7349,35.2518,33.3333,34.3284,
72104,38.1642,31.3609,43.1579,35.4037,49.0566,
72139,40,32,35.8974,31.8841,37.1795,
72174,37.799,32.9341,35.7664,32.8859,33.8346,
72209,34.3137,28.5714,35.1351,32.4324,34.2657,
