SearchZ:
ZPos,Cen,UL,UR,BL,BR
71615,38.8646,42.4084,40.1198,41.1765,50.8571,
71655,41.9913,44.385,46.9613,47.1698,58.5106,
71695,47.1861,50,51.6854,54.491,63.2432,
71735,52.4229,53.6082,57.672,57.8313,65.4054,
71775,58.0357,57.0681,59.7884,60.479,64.3243,
71815,62.5571,58.7302,59.7884,58.8235,60.6383,
71855,60.9091,56.7568,56.1497,53.6585,53.8462,
71895,55.8559,54.0984,50.2825,46.8354,47.191,
71935,49.345,46.2857,42.515,40.5063,38.1818,
71975,43.7229,40.8284,39.2857,35.9477,38.4615,
72015,39.4737,36.1446,34.1615,32.8859,34.1772,
72055,34.8624,30.5882,31.9728,32.9114,38.0645,
72095,36.3636,35.3293,33.3333,31.5789,36.0947,
