SearchZ:
ZPos,Cen,UL,UR,BL,BR
71615,39.4737,38.8889,42.3529,46.7456,56.9061,
71655,42.8571,43.3155,48.8889,50.5882,61.0811,
71695,47.8261,46.9613,53.8462,58.1921,64.3243,
71735,54.185,53.6082,57.1429,60.2273,64.1304,
71775,59.6413,57.513,58.9189,61.1429,60.221,
71815,62.7273,58.9474,57.1429,57.3965,55.6757,
71855,60,57.672,52.7473,53.5714,50.5376,
71895,53.9823,56.0209,47.9769,49.7076,45.9459,
71935,48.0519,52.0833,41.0405,41.25,37.2781,
71975,42.6087,47.644,36.9048,35.9477,35.7576,
72015,38.4615,44.5652,32.5444,32.8767,34.1463,
72055,37.2197,38.5475,33.3333,32.8947,34.9693,
72095,35.1852,30.9942,31.6129,35.7576,34.6667,
