SearchZ:
ZPos,Cen,UL,UR,BL,BR
71719,51.6279,51.4793,57.0621,56.5217,61.1765,
71754,54.4186,55.0296,58.3815,59.7561,65.3631,
71789,60.1896,55.9524,58.6592,63.4146,67.5978,
71824,63.6364,55.4217,56.8182,65.8824,66.4804,
71859,63.4615,53.6585,51.1905,63.7427,63.8418,
71894,59.2417,51.8072,46.3415,60.479,57.2254,
71929,54.4186,46.9136,43.5583,54.0373,51.4793,
71964,48.3871,40.1274,35.9477,46.4052,43.038,
71999,44.9541,35.5263,32.4324,39.726,38.5621,
72034,38.2353,32.4503,33.7748,34.7518,36.4238,
72069,35.3234,32.3944,34.2466,32.8467,34.6154,
72104,37.6884,30.3226,36.4865,32.3944,35.7664,
72139,35.7143,30.3797,31.7829,39.1304,32.8,
72174,39.9061,31.25,31.8182,33.3333,35.8209,
72209,39.2157,33.7423,30.9353,31.4286,34.3511,
