SearchZ:
ZPos,Cen,UL,UR,BL,BR
71719,53.211,54.1899,59.5628,58.6207,65.5172,
71754,57.2093,56.1798,59.7826,61.6279,66.2921,
71789,61.4679,58.7302,56.5217,63.6364,65.2174,
71824,63.6364,58.427,52.0468,64.7059,61.1111,
71859,61.1374,54.9133,47.619,63.3136,56.1798,
71894,56.0748,50.303,42.3313,57.0552,48.1928,
71929,50.6849,48.538,38.2716,52.2013,45.0292,
71964,45.8716,41.8182,36.3057,43.4211,37.6623,
71999,41.5525,38.4615,35.7143,36.4865,37.5796,
72034,37.1981,33.3333,32.0261,34.7826,38.1579,
72069,38.0952,33.7662,32.4841,33.3333,35.0649,
72104,37.7358,29.0323,34.1936,30.4348,34.2857,
72139,35.2657,31.6456,30.8271,31.0811,36,
72174,38.835,31.7365,39.4495,33.7662,42.5743,
72209,40,30.2013,31.6129,32.3308,35.8974,
