SearchZ:
ZPos,Cen,UL,UR,BL,BR
71615,38.0531,44.3299,36.0947,46.4968,45.1429,
71655,41.1255,41.0405,40.113,50.9434,51.4124,
71695,43.7229,49.7382,46.6667,55.2795,59.5745,
71735,49.5652,52.6882,54.6392,58.7879,64.1304,
71775,55.7522,56.6138,57.2192,59.5092,66.3043,
71815,61.086,56.044,60.2094,56.3636,65.4054,
71855,62.7273,55.914,60,50.6173,60.6383,
71895,58.5586,51.6854,57.672,45.679,56.0209,
71935,51.5419,45.0292,51.3812,41.25,45.6647,
71975,46.087,41.7143,44.9102,39.0244,41.1765,
72015,42.2414,37.2093,39.8773,33.7662,36.9697,
72055,40.5172,32.5301,38.0952,36.25,37.1069,
72095,37.2197,30.1205,34.1615,31.5789,38.4615,
