SearchZ:
ZPos,Cen,UL,UR,BL,BR
71719,50.6849,51.4793,56.3218,57.0552,62.6374,
71754,54.6296,55.9322,57.7143,58.75,66.1017,
71789,59.6244,57.4713,57.7143,62.2642,67.5978,
71824,63.8095,55.9524,55.814,61.7834,66.4804,
71859,63.6364,54.491,54.1899,60.5096,62.4309,
71894,58.6854,49.3976,50,54.5455,57.7778,
71929,53.7037,45.5696,42.3313,50.3268,49.1124,
71964,47.5113,40,36.7742,42.4658,41.1765,
71999,45.045,37.1795,34.2105,37.5,36.3636,
72034,37.2549,32.9341,34.8837,32.8859,37.0079,
72069,36.8932,34.5679,33.7662,30.4348,35.6164,
72104,36.9458,33.3333,31.1258,32.3529,35.9477,
72139,38.756,31.25,29.7297,34.7518,33.3333,
72174,37.2549,32.9193,29.8013,32.3308,35.1351,
72209,40.7407,30.7692,31.1688,32.8358,33.7838,
