SearchZ:
ZPos,Cen,UL,UR,BL,BR
71615,36.9863,37.931,37.6471,45.4545,43.9024,
71655,38.1818,41.0405,39.8844,51.25,51.4124,
71695,44.7368,49.1892,48.6631,55.6962,59.5628,
71735,50,52.9412,53.5135,58.2822,64.3243,
71775,56.4444,56.5217,58.0645,59.2593,65.9341,
71815,61.6438,57.1429,60.4278,55.2795,65.2174,
71855,62.3853,56.5217,59.5745,53.012,58.427,
71895,57.4661,51.6854,56.6138,46.9136,53.0055,
71935,51.7857,51.0638,50.2825,40.2597,45.4545,
71975,45.8515,42.0455,45.977,34.6154,39.8773,
72015,41.7391,35.6322,39.7436,32.4503,37.5796,
72055,36.4055,31.7647,33.3333,30.719,33.3333,
72095,37.8378,34.4444,32.8571,30.8176,35.1351,
