SearchZ:
ZPos,Cen,UL,UR,BL,BR
71719,51.1312,52.0958,55.2941,56.213,61.7486,
71754,55.2511,56.3218,58.427,58.5366,64.4444,
71789,60.7477,57.4713,59.5628,62.1951,67.5978,
71824,63.981,55.0296,56.5217,64.9123,66.6667,
71859,63.6364,53.2164,51.4451,62.6506,64.8352,
71894,58.8785,50,46.1078,58.0247,59.7826,
71929,53.4247,47.9769,42.1687,53.1646,55.914,
71964,47.9821,39.2405,36.7742,46.4052,49.1525,
71999,42.9864,34.5455,31.9444,37.415,40.5405,
72034,33.6842,41.791,38.6139,35.0318,44.0994,
72069,37.5,39.823,43.4483,32.3308,40.5405,
72104,37.6744,32.5,33.3333,32.8767,37.6623,
72139,36.4929,28.9474,30.9353,32.4138,33.8028,
72174,36.7925,29.5597,32.3741,31.5068,36.1702,
72209,36.2319,32.5444,29.6,32.9032,32.8244,
