SearchZ:
ZPos,Cen,UL,UR,BL,BR
71615,37.7778,36.4162,38.9222,43.5583,48.6034,
71655,39.823,43.3333,44.8276,51.6854,54.8387,
71695,46.3203,49.4624,51.6483,55.9322,61.4973,
71735,51.0917,54.7368,55.914,58.8235,64.5161,
71775,58.0357,55.1913,58.9189,61.6279,65.5914,
71815,61.8182,57.377,58.9474,61.5819,63.6364,
71855,61.086,55.6757,54.1899,56.3218,58.9474,
71895,56.0538,50.5618,51.6483,50,53.9267,
71935,49.345,44.186,46.3687,43.2099,45.1429,
71975,44.3478,38.4615,38.6503,35.4839,37.8049,
72015,36.1111,35.6322,35,34.1936,36.646,
72055,37.2197,30.6818,30.9353,37.5,33.3333,
72095,36.036,29.8246,30.6122,33.3333,35.0993,
