SearchZ:
ZPos,Cen,UL,UR,BL,BR
71615,38.9381,35.7143,35.3293,47.4359,50.2762,
71655,41.8502,41.7143,39.1813,51.2821,57.4468,
71695,45.2174,46.8927,47.8261,56.25,61.7486,
71735,50,53.7634,52.6882,57.6923,64.8352,
71775,56.7568,56.5217,58.0645,57.2327,66.1202,
71815,61.4679,56.4246,60.8466,57.3171,64.8352,
71855,62.5571,56.2842,59.7884,50.3106,58.2418,
71895,57.2727,52.4862,56.044,46.3415,51.6854,
71935,51.1111,48.3146,52.9412,38.961,44.9438,
71975,45.8515,41.8605,45.6647,35.5263,39.2857,
72015,42.1053,37.6471,39.5062,31.0345,37.037,
72055,37.2727,34.6154,40.2597,30.6122,38.5475,
72095,35.1852,34.1463,36,30.6667,38.7283,
