SearchZ:
ZPos,Cen,UL,UR,BL,BR
71719,50.2304,52.381,54.491,54.8387,62.2222,
71754,54.2056,54.2169,58.427,57.8947,65.1685,
71789,60.1896,56.6265,60,63.2911,68.1818,
71824,63.4615,56.9767,58.427,62.0915,67.2316,
71859,63.285,53.9394,53.4884,59.7403,62.7907,
71894,59.0476,50,46.9136,54.9669,58.1395,
71929,54.2056,47.561,41.7722,48.2993,52.0468,
71964,49.3088,41.7722,36.4238,45.2055,43.038,
71999,43.3962,35.9477,37.5796,39.8601,37.7483,
72034,35.6784,36.8421,36.7647,37.1795,35.1724,
72069,41.9048,31.2102,33.8462,33.3333,33.3333,
72104,36.6834,32.2581,32.5153,31.746,41.3043,
72139,38.1642,30.137,33.758,32.3077,35.9477,
72174,36.3636,39.0625,37.2549,35.0649,34.6939,
72209,35.0254,28.1046,31.3433,31.5068,37.1429,
