SearchZ:
ZPos,Cen,UL,UR,BL,BR
71615,36.6071,45.8128,36.0465,48.75,48.8636,
71655,41.2281,42.5287,40.113,53.4591,57.2192,
71695,44.3478,51.7949,46.5241,57.5,62.1622,
71735,50.4348,54.1667,53.125,60.7143,65.0273,
71775,56.4444,57.0681,57.513,56.5217,65.0273,
71815,61.8182,57.672,60.2094,53.0864,63.0435,
71855,61.991,57.8947,60.8466,45.3333,58.5106,
71895,57.8475,52.4862,58.3333,40,52.6882,
71935,51.7544,49.4506,53.0055,39.6226,43.3526,
71975,45.2174,43.0233,48.913,33.7838,38.8235,
72015,38.7387,36.7232,43.5583,31.1258,35.9477,
72055,38.3929,36.5854,38.255,31.5789,37.5723,
72095,36.3229,32.5714,32.4675,33.3333,39.8773,
