SearchZ:
ZPos,Cen,UL,UR,BL,BR
71615,40.2597,45.4545,44.0476,45.3488,55.6757,
71655,42.6087,46.875,47.9769,51.1111,58.427,
71695,47.8261,51.2953,55.6757,55.4286,64.1304,
71735,53.304,54.0107,57.377,60,65.4054,
71775,59.6413,57.2917,58.4699,62.9213,63.6364,
71815,62.3853,56.5217,55.5556,62.2857,57.8378,
71855,60.181,55.4348,51.9126,59.3407,52.4862,
71895,54.4643,50.5618,45.1429,52.8736,44.3182,
71935,47.5983,48.0226,40,44.5783,38.4615,
71975,42.6087,42.5287,35.2941,38.4615,35.3293,
72015,40,38.2716,33.3333,33.7748,37.5723,
72055,39.3939,33.3333,33.3333,34.5455,37.9747,
72095,33.9535,32.5581,31.5068,34.1615,36.5854,
