SearchZ:
ZPos,Cen,UL,UR,BL,BR
71719,53.6364,55.0562,58.1921,51.9481,64.9717,
71754,58.3333,55.6818,58.4699,56.4103,67.2316,
71789,62.4413,57.3034,55.1724,61.7284,66.4804,
71824,63.981,55.814,50.5882,63.522,63.5359,
71859,61.5023,54.386,46.7456,61.039,60.221,
71894,56.4815,47.8788,40,56.8627,55.6757,
71929,51.3761,44.7853,35.8974,52.9412,43.9024,
71964,47.2727,39.7436,35.0318,44.4444,45.8564,
71999,39.7129,34.2105,34.6154,38.1295,34.6405,
72034,36.2319,30.7692,31.4286,32.8571,36.4865,
72069,37.0892,30,31.2977,34.2105,34.2857,
72104,38.2353,29.0323,30.9859,34.2466,32.8358,
72139,34,29.8701,30.9859,33.7931,37.7483,
72174,34.3137,28.5714,32.3944,34.6667,36.0544,
72209,34.359,28.3019,29.1667,32.8671,31.7829,
