SearchZ:
ZPos,Cen,UL,UR,BL,BR
71719,51.1521,52.0958,56.7251,58.0838,62.069,
71754,55.3488,55.814,58.1395,59.2593,66.1017,
71789,60.3774,57.6471,57.7143,64.2857,68,
71824,63.6364,56.4706,54.9133,64.6341,66.4804,
71859,63.4615,55.5556,52.0468,63.8554,62.2857,
71894,59.0476,51.4793,45.679,60.9195,55.0296,
71929,53.4884,46.5839,41.9753,56.4706,49.3976,
71964,48.6239,43.038,38.75,50,41.0256,
71999,43.2558,36.7089,35.0993,40.5405,37.7483,
72034,39.0476,34.6939,32.4503,35.7143,35.4839,
72069,37.8641,30.7692,31.4685,33.813,36.6197,
72104,37,32.3308,30.3797,31.746,40.2299,
72139,36.8932,30,27.1318,31.5068,35.7143,
72174,39.2523,30.8176,28.6822,32.8859,33.3333,
72209,38,32.9114,29.078,34.8485,33.871,
