SearchZ:
ZPos,Cen,UL,UR,BL,BR
71615,37.8995,37.5723,39.0805,46.1538,55.0802,
71655,42.1053,47.7387,42.0118,50,58.8889,
71695,46.7249,51.0204,50,57.0552,62.8415,
71735,51.7544,54.4041,56.8421,58.5366,65.7459,
71775,58.5586,57.8947,59.7884,58.4906,63.9344,
71815,62.212,58.0645,60.8466,57.0552,61.2903,
71855,60.7306,58.5106,57.8378,50.9434,52,
71895,55.8559,55.5556,53.8462,43.2258,47.3684,
71935,50.2222,50.2762,48.3146,40.3727,43.5028,
71975,44.4934,43.6782,44.186,34.6405,36.25,
72015,41.2281,41.0256,39.2405,32.8859,36.7816,
72055,36.9863,32.9545,34.6939,31.6129,35.5705,
72095,37.8995,30.8642,32.0755,31.5436,34.6154,
