SearchZ:
ZPos,Cen,UL,UR,BL,BR
71615,36.9369,39.3258,36.9048,45.6954,51.4451,
71655,41.9913,43.7838,42.0455,53.3742,58.4699,
71695,46.087,49.2063,48.0663,56.962,62.069,
71735,51.0917,51.6483,54.0107,59.0062,66.1202,
71775,57.6577,55.3073,59.1623,57.764,64.2458,
71815,62.5571,57.8378,61.0526,54.878,60.221,
71855,58.9958,55.122,58.0488,49.4737,52.2843,
71895,56.0538,52.2727,57.2917,47.3684,47.7273,
71935,50.2222,48.8889,50.8197,37.2549,39.759,
71975,44.9782,44.5087,45.7627,37.9747,36.1963,
72015,41.2281,38.4615,39.2857,35.0993,37.037,
72055,38.7387,33.3333,32.9032,35.0318,36.7089,
72095,37.2727,33.7278,33.3333,33.3333,37.3494,
