SearchZ:
ZPos,Cen,UL,UR,BL,BR
71719,49.0909,53.7572,54.9451,54.9669,58.1921,
71754,53.4247,56.3218,57.0621,60.7362,61.6279,
71789,59.2593,57.7143,60,60,67.4157,
71824,63.2075,56.9767,60,59.4771,67.4157,
71859,63.981,53.8462,55.4286,61.9048,65.7143,
71894,60.3774,51.4793,51.7241,52.0548,61.1111,
71929,55.0459,45.7831,46.4286,49.6774,52.6627,
71964,49.3213,40.8284,42.8571,41.8919,47.1698,
71999,44.3946,37.037,37.1795,35.7143,40.5063,
72034,40,33.7209,40.5405,34.5912,46.7742,
72069,38.1642,33.7662,33.3333,31.9149,35.8491,
72104,38.1642,33.7349,34.3066,33.3333,31.2977,
72139,39.8148,34.1463,31.6129,33.3333,34.2857,
72174,34.9754,33.7278,32.2581,32.4324,34.9594,
72209,35.9606,28.75,33.3333,33.3333,33.8346,
