SearchZ:
ZPos,Cen,UL,UR,BL,BR
71615,37.7193,40.6593,36.9048,45.122,41.5205,
71655,38.3929,42.3729,42.5287,51.4451,49.7326,
71695,44.5887,50.5376,47.541,55.6886,56.8421,
71735,49.5652,52.6882,53.1915,58.0838,61.9048,
71775,54.8673,56.1497,58.1152,62.2857,65.5914,
71815,61.086,57.4468,58.6957,59.5376,66.6667,
71855,62.5571,54.4444,58.7302,57.3034,63.6364,
71895,58.371,50.5494,55.1913,50.8772,58.9474,
71935,51.7544,46.0674,49.4506,41.6149,51.6129,
71975,46.3203,41.8994,44.186,36.3057,45.2514,
72015,41.4847,32.5714,43.0464,32.0755,39.1892,
72055,39.1304,33.3333,36.2963,34.5029,35.8491,
72095,33.9535,30.5882,34.2282,29.9363,36.3636,
