SearchZ:
ZPos,Cen,UL,UR,BL,BR
71719,50.9091,53.0726,57.377,56.5789,65.1685,
71754,55.7604,57.6087,59.3407,60.2564,66.8571,
71789,60.7477,59.3407,60.4396,60.2564,65.9091,
71824,63.8095,55.4217,57.7778,60.2564,63.3333,
71859,62.2642,53.6585,55.8011,54.9669,56.4706,
71894,57.2093,50,49.7076,50.6667,50.303,
71929,52.5114,45.3416,48.3871,44.8276,44.0994,
71964,47.5113,41.9753,40.8284,38.1295,39.3548,
71999,37,51.2195,49.5146,35.8974,36.7089,
72034,41.0138,33.3333,33.758,36.1111,37.7483,
72069,36.5854,32.4675,33.3333,35.2113,37.2549,
72104,34.3284,32.5301,35.6643,34.6405,36,
72139,38.3178,34.2105,31.6129,32.3308,36.25,
72174,35.2941,40.5405,40.1869,34.2105,38.3721,
72209,34.0102,41.3534,37.5,33.3333,37.5796,
