SearchZ:
ZPos,Cen,UL,UR,BL,BR
71719,48.6486,50.2959,56.1497,55.102,62.2222,
71754,53.4247,53.012,58.5106,58.3893,65.3631,
71789,59.0698,56.213,61.2903,59.4595,67.5978,
71824,63.2075,55.0296,61.2903,57.6159,66.2921,
71859,63.0332,53.012,59.1398,52.7027,63.3333,
71894,59.6244,48.75,53.5912,47.9452,56.3218,
71929,54.1284,46.0123,50.838,43.2624,52.5424,
71964,48.4163,39.6226,48.0226,37.931,45.4545,
71999,42.5926,36.3057,40.1198,35.2518,38.8535,
72034,33.6683,50,49.0196,32.8767,38.2857,
72069,37.5,32,35,31.8519,35.8491,
72104,36.5854,31.25,31.9149,31.9444,36.6197,
72139,38.0952,32.5153,31.746,33.7662,37.1795,
72174,35,35.1724,37.0968,32.8767,39.759,
72209,37.2549,30.4878,34.7222,32.4138,33.8346,
