SearchZ:
ZPos,Cen,UL,UR,BL,BR
71719,50.4587,54.4444,56.5714,57.0552,60.6742,
71754,54.4186,58.2418,58.6207,60.479,65.1685,
71789,60.1896,58.427,58.6207,63.8554,67.5978,
71824,63.4615,57.7778,57.3034,63.4146,67.5978,
71859,63.4615,56.4246,51.1905,62.4242,64.2458,
71894,59.434,51.4793,48.2353,55.8442,59.116,
71929,54.6296,45.3416,45.977,50.3356,55.1913,
71964,48.6239,40.1274,38.3648,46.7532,43.75,
71999,42.723,38.5621,35.4839,39.3103,39.5062,
72034,37.561,32.5,36.8421,36.4865,37.5,
72069,39.4231,32.0755,31.0345,34.2657,35.2941,
72104,37.5,36.8421,32.8467,35.5263,37.3333,
72139,38.2353,31.677,32.8467,33.7838,34.8148,
72174,37.4408,31.2883,28.5714,32.8947,34.7518,
72209,39.1304,30.9091,39.4495,32.8947,43.3962,
