0.00552758	0.00829767	0.01014362	0.01255934	0.01507126	0.01645810	0.01507126	0.01255934	0.01014362	0.00829767	0.00552758
0.00829767	0.00707982	-0.00530525	-0.01275632	-0.01437847	-0.01377793	-0.01437847	-0.01275632	-0.00530525	0.00707982	0.00829767
0.01014362	-0.00530525	-0.05776670	-0.09235246	-0.10055394	-0.09649637	-0.10055394	-0.09235246	-0.05776670	-0.00530525	0.01014362
0.01255934	-0.01275632	-0.09235246	-0.12671977	-0.07224681	-0.00126171	-0.07224681	-0.12671977	-0.09235246	-0.01275632	0.01255934
0.01507126	-0.01437847	-0.10055394	-0.07224681	0.22439126	0.53023138	0.22439126	-0.07224681	-0.10055394	-0.01437847	0.01507126
0.01645810	-0.01377793	-0.09649637	-0.00126171	0.53023138	1.06150822	0.53023138	-0.00126171	-0.09649637	-0.01377793	0.01645810
0.01507126	-0.01437847	-0.10055394	-0.07224681	0.22439126	0.53023138	0.22439126	-0.07224681	-0.10055394	-0.01437847	0.01507126
0.01255934	-0.01275632	-0.09235246	-0.12671977	-0.07224681	-0.00126171	-0.07224681	-0.12671977	-0.09235246	-0.01275632	0.01255934
0.01014362	-0.00530525	-0.05776670	-0.09235246	-0.10055394	-0.09649637	-0.10055394	-0.09235246	-0.05776670	-0.00530525	0.01014362
0.00829767	0.00707982	-0.00530525	-0.01275632	-0.01437847	-0.01377793	-0.01437847	-0.01275632	-0.00530525	0.00707982	0.00829767
0.00552758	0.00829767	0.01014362	0.01255934	0.01507126	0.01645810	0.01507126	0.01255934	0.01014362	0.00829767	0.00552758
