SearchZ:
ZPos,Cen,UL,UR,BL,BR
71615,40,36.4162,37.2781,43.2258,51.1364,
71655,42.3581,44.5652,47.3118,49.0446,57.6087,
71695,46.3203,47.541,52.381,56.213,63.2432,
71735,51.7544,52.1739,57.2917,58.5366,65.4054,
71775,58.0357,56.8421,58.7302,60.4651,65.4054,
71815,61.991,57.672,59.5745,58.3815,61.7021,
71855,61.086,56.2842,57.672,54.1176,53.9326,
71895,56.0538,53.7634,54.0107,49.7076,45.8824,
71935,50.6608,48.8889,51.5464,44.3787,38.5542,
71975,44.5887,44.6328,40.5714,40.6061,36.1446,
72015,40.8696,37.7246,36.5269,40.4762,34.1463,
72055,39.1304,33.7349,34.1615,38.6503,36.5269,
72095,37.5,30.5389,31.2102,36.25,36.7089,
