SearchZ:
ZPos,Cen,UL,UR,BL,BR
71719,51.1521,52.6627,54.491,56.25,61.8497,
71754,54.6296,55.0296,60.221,59.7484,65.1685,
71789,60.9524,56.8862,56.6265,61.8421,68.1818,
71824,64.2512,56.6265,59.3407,62.5806,67.2316,
71859,63.4615,53.3742,52.0958,60.5096,61.8497,
71894,59.8086,50.3106,48.8095,56.129,56.9767,
71929,51.2605,45.1613,45.098,50,50,
71964,48.3871,40.2597,36.8421,46.0526,41.9355,
71999,41.6268,33.3333,35.3383,36.9863,36.4341,
72034,37.6238,41.6667,35.1724,33.8028,38.0645,
72069,36.3636,32.0988,31.25,32.8767,35.7664,
72104,38.9163,33.3333,35.1724,32.8571,36.2319,
72139,35.7143,32.3077,32.5153,33.3333,40.3509,
72174,38,29.771,32.9193,31.0924,35.0649,
72209,36.0406,28,32.8467,31.3869,34.7826,
