SearchZ:
ZPos,Cen,UL,UR,BL,BR
71615,40.2597,35.2941,41.2429,46.988,55.1913,
71655,42.3581,41.2429,45.2514,51.5152,60,
71695,46.9565,46.1538,54.6392,55.2795,64.3243,
71735,52.4229,51.6129,58.1152,59.2814,64.8352,
71775,58.371,56.383,60,59.2814,62.8415,
71815,59.6708,56.6038,57.5472,56,55.7692,
71855,60.7306,56.5217,57.8947,52.0958,54.7368,
71895,55.157,54.3478,50.838,46.0123,45.4545,
71935,48.8987,49.1525,45.7627,38.961,41.573,
71975,43.7229,49.1329,42.3077,36.7089,36.8421,
72015,38.7387,41.6149,39.5062,36.3057,37.5,
72055,34.8659,36.5854,30.2564,32.5843,33.6788,
72095,36.036,33.3333,31.8182,33.7349,36.0544,
