SearchZ:
ZPos,Cen,UL,UR,BL,BR
71719,48.5944,51.6588,56.9378,56.0209,63.8191,
71754,57.9439,55.814,59.322,58.4416,65.9091,
71789,62.0853,57.2254,58.1921,62.0253,62.5,
71824,63.6364,57.7143,54.8023,58.9404,56.9767,
71859,60.3774,54.7619,49.4253,56.8627,52.3256,
71894,55.3488,51.8072,45.0292,57.4713,45.8824,
71929,50.4587,46.988,40.2439,52.0958,39.2405,
71964,44.6429,46.9136,37.0629,39.5973,36.646,
71999,39.9061,39.3103,35.5263,34.3066,35.3659,
72034,38.6792,32.0755,31.5789,32.8767,38.255,
72069,37.3737,45.0382,38.9474,34.1615,36,
72104,34,32.4841,32.4503,32.3944,37.9747,
72139,35.6098,33.7209,31.6667,33.3333,37.8788,
72174,34.9515,31.7365,30.8271,31.5789,36.0544,
72209,38.5321,30.2632,32.0513,31.8841,37.5796,
