SearchZ:
ZPos,Cen,UL,UR,BL,BR
71615,38.8646,36.4162,38.5542,46.6667,55.914,
71655,41.3793,41.8994,46.0674,50.2959,59.7826,
71695,47.5983,48.1481,53.9267,58.8889,63.7363,
71735,48.062,50,54.2056,58,62.3188,
71775,58.0357,56.8421,59.7884,61.7978,64.1304,
71815,62.3853,58.7302,59.7884,59.7765,60.2151,
71855,60.7306,57.6087,57.0681,55.2941,53.8462,
71895,55.3571,53.5912,53.1915,52.7473,43.5294,
71935,49.5575,48.0226,47.2527,43.0303,38.5542,
71975,44.1048,42.1965,40.1198,37.9747,40.9091,
72015,37.2727,42.0118,37.3333,33.3333,34.9112,
72055,40,36.646,33.758,33.3333,38.8889,
72095,38.326,34.1615,32.1429,32.4324,36.4706,
