SearchZ:
ZPos,Cen,UL,UR,BL,BR
71615,40.3509,37.2781,37.2781,49.7006,51.6854,
71655,42.1053,41.7143,43.1818,51.8987,58.0645,
71695,46.087,50.7853,51.5789,57.0552,63.0435,
71735,51.3274,54.4041,53.5912,61.4035,64.8352,
71775,54.2169,54.9296,55.9809,58.7629,62.7451,
71815,62.212,57.5419,60,56.0976,62.6374,
71855,62.037,58.0645,59.5745,50.9434,58.2888,
71895,54.0323,52.3364,53.0516,45.0777,48.3568,
71935,51.1111,50.5376,50.838,38.5621,42.515,
71975,44.7368,45.9459,44.5087,33.3333,39.0244,
72015,40.708,41.7722,39.5062,32.4138,37.1429,
72055,37.2197,35.0649,35.443,33.3333,36.0465,
72095,37.8378,32.9193,33.3333,35.8491,37.3494,
