SearchZ:
ZPos,Cen,UL,UR,BL,BR
71719,50.6849,51.7647,56.1798,54.8387,62.2222,
71754,55.3488,54.1176,58.6592,58.4416,65.5556,
71789,59.6244,56.7251,59.7826,64.0719,67.5978,
71824,63.6364,57.9545,56.8182,61.7834,66.6667,
71859,63.0332,53.012,52.0468,60.2484,63.3333,
71894,58.6854,49.7006,48.8095,55.1282,57.7778,
71929,53.7037,45.679,41.25,48.9933,51.1628,
71964,47.9452,39.6226,36.3057,44.2177,42.8571,
71999,42.5926,36.7089,37.1795,39.3103,36.9128,
72034,41.1765,33.7748,35.4037,34.8148,37.8882,
72069,35.6098,33.7278,33.8346,33.7662,36.1111,
72104,36.8932,30.8176,33.3333,30.4965,33.813,
72139,34.6535,32.8947,32.0261,33.8235,35.0318,
72174,36.8421,29.5597,32.3741,32.8859,32.8358,
72209,38.0952,29.6296,32.8358,32.8859,36.2963,
