SearchZ:
ZPos,Cen,UL,UR,BL,BR
71615,38.2609,37.931,38.2857,45,46.5909,
71655,41.1255,43.1694,42.5287,50.6024,54.8387,
71695,46.087,50.2645,50,55.6886,60.4396,
71735,50,53.2609,56.0209,58.0247,64.1304,
71775,56.4444,56.1497,58.7302,60,66.4865,
71815,61.8182,58.5106,59.5745,57.764,63.8298,
71855,61.8182,56.7568,57.8947,53.9394,59.5745,
71895,57.1429,54.2553,54.4974,49.1124,53.1915,
71935,50.6608,49.1713,47.486,41.9355,44,
71975,44.8276,42.0455,41.6667,35.8974,36.9697,
72015,39.5556,34.8837,37.5,33.7662,38.6503,
72055,37.5566,37.5,36.1702,34.5679,34.1615,
72095,38.8646,29.3413,33.3333,33.3333,33.3333,
