SearchZ:
ZPos,Cen,UL,UR,BL,BR
71719,50,51.1905,57.7778,58.0838,62.9213,
71754,54.8387,53.5714,58.6592,60.2484,66.2921,
71789,60.5634,56.7251,59.5506,62.7329,67.4157,
71824,60.8511,55.8824,55.665,62.1053,63.8191,
71859,60.8511,54.902,51.2438,59.1623,60.199,
71894,59.2417,49.3827,48.2353,56.6879,57.0621,
71929,53.917,46.3415,43.0303,51.8987,51.4124,
71964,48.1818,41.4634,40.7407,42.6667,44.0994,
71999,43.1193,34.1615,36.4238,38.7755,35.7143,
72034,37.561,31.2102,34.2282,32.8671,34.7518,
72069,37.4408,33.3333,37.3134,32.8947,38.0282,
72104,35.9606,31.3609,30.6452,32,34.7518,
72139,36.2745,29.4118,32.3741,31.9444,37.9747,
72174,37.3134,39.3939,38.0531,35.0318,36.7089,
72209,34.9515,29.2683,35.0877,32.9032,38.7097,
