SearchZ:
ZPos,Cen,UL,UR,BL,BR
71719,50.4587,52.6012,54.386,54.8387,62.2222,
71754,54.1284,53.8462,57.7143,59.2357,66.1017,
71789,59.6244,56.4706,60.6557,62.2642,68.1818,
71824,63.8095,56.7251,55.814,62.2642,66.1017,
71859,63.6364,54.1176,52.9412,58.9744,63.1285,
71894,58.6854,50.303,49.7076,54.8387,56.8182,
71929,53.917,45.679,43.7126,48.9933,50.8772,
71964,48.1818,40.1274,38.3648,45.3333,41.7722,
71999,40.3226,33.6735,31.7919,37.0166,39.6648,
72034,37,35.6725,41.2698,35.4839,42.3729,
72069,36.5854,32.5153,30.1587,31.9728,34.7222,
72104,38.0952,31.2883,29.6,32.8947,35.2113,
72139,38,34.8571,43.6893,33.7748,48.5149,
72174,37.6884,29.8246,57.5758,34.1463,66.1972,
72209,34.3284,32.5,35.2113,32.8767,42.515,
