SearchZ:
ZPos,Cen,UL,UR,BL,BR
71615,41.1255,39.7849,41.8605,47.5,58.1921,
71655,44.3478,42.7027,51.7949,51.8519,62.6374,
71695,48.6957,47.027,54.4974,55.5556,64.6409,
71735,54.6667,53.6082,58.1152,60,62.8415,
71775,60.181,56.4767,60,58.5799,59.5628,
71815,62.5571,59.1623,58.9474,54.7619,52.2727,
71855,59.276,58.5106,56.8421,50.8982,45.0292,
71895,53.0973,53.8462,50.2762,42.3077,42.0455,
71935,47.3684,51.3514,45.2514,37.3333,35.7576,
71975,42.9825,46.3687,38.9222,34.6405,38.8235,
72015,38.3929,40.4494,34.9693,32.8859,40.3509,
72055,38.0531,37.037,31.7647,30,36.0947,
72095,39.3939,33.7278,34.3066,32.5153,36.1963,
