SearchZ:
ZPos,Cen,UL,UR,BL,BR
71615,39.5556,36.4162,39.8844,44.7368,53.6723,
71655,42.1053,40.2299,44.7514,50.6493,59.7826,
71695,46.9565,46.4481,50.2762,56.6879,63.9344,
71735,52.4229,51.6483,56.383,56.8627,64.8352,
71775,58.5586,55.4348,60.2094,57.5,63.2432,
71815,62.5571,56.6667,60.8466,54.4304,59.116,
71855,60.7306,57.377,58.9474,52.0958,55.3191,
71895,55.157,52.2727,53.8462,47.3054,44.0476,
71935,49.5575,47.6744,53.125,38.5621,38.1818,
71975,45.2174,47.3684,46.6667,34.6405,36.8421,
72015,39.0909,38.5621,36.7232,30.9353,35.6725,
72055,37.6147,33.7423,39.4286,35.5705,38.5542,
72095,35.514,33.7278,34.2466,30.719,36.1446,
