SearchZ:
ZPos,Cen,UL,UR,BL,BR
71719,51.1312,55.6757,55.814,56.5217,62.9213,
71754,55.0459,57.8378,59.1398,58.7097,66.6667,
71789,60,59.5628,59.3407,62.0253,67.2316,
71824,63.981,59.116,57.3034,62.0253,66.2921,
71859,62.8571,54.1176,52.8736,60.7362,62.2222,
71894,58.6854,53.1429,48.2353,55.414,55.6818,
71929,52.9954,46.988,41.1043,50,50,
71964,48.1818,42.6829,37.1795,42.069,39.8693,
71999,40.6699,32.9341,37.5,35.0993,38.0952,
72034,37.8641,34.9112,30.7692,31.0811,35.1724,
72069,38.4615,32.5153,31.2977,31.0345,31.8182,
72104,36.6337,32.9268,34.3066,31.5068,30.2326,
72139,37.6238,38.0282,39.7849,34.5679,38.4615,
72174,36.3636,40.5405,39.3258,33.7423,41.1765,
72209,36.1905,31.7647,35.8779,32.4675,36.4341,
