SearchZ:
ZPos,Cen,UL,UR,BL,BR
71719,18.5542,27.6139,32.0113,31.831,37.5,
71754,55.0459,55.5556,58.8571,60.241,66.1017,
71789,58.5903,58.5492,57.9487,62.5,66.3158,
71824,63.6364,57.2254,55.1724,63.522,65.3631,
71859,62.8571,55.6818,50,59.4771,62.4309,
71894,58.6854,51.7647,47.3684,56.6879,57.6087,
71929,53.4247,46.6667,42.6829,50.9677,50,
71964,48.1818,41.25,40.2439,41.6667,40.5063,
71999,42.8571,36.25,34.6667,38.7755,40.5063,
72034,36.8932,34.5238,32.3077,32.8767,32.3077,
72069,36.9458,31.7829,29.1139,31.8182,38.6364,
72104,37.799,32.1212,29.771,31.0345,37.0629,
72139,38.9671,32.0261,32.5,32.3077,34.6667,
72174,38.0282,30.2013,31.6129,30.8271,35.0993,
72209,38.8889,32.9412,29.6875,33.3333,31.7829,
